"2011 census frozen ward","mnemonic","Total","Male","Female"
"Bank Top","E36000089",165,100,70
"Central","E36000090",310,200,110
"Cockerton East","E36000091",70,35,40
"Cockerton West","E36000092",160,100,60
"College","E36000093",55,35,20
"Eastbourne","E36000094",205,125,85
"Faverdale","E36000095",25,15,10
"Harrowgate Hill","E36000096",90,45,45
"Haughton East","E36000097",155,90,65
"Haughton North","E36000098",50,30,20
"Haughton West","E36000099",85,50,35
"Heighington and Coniscliffe","E36000100",30,15,15
"Hummersknott","E36000101",20,15,5
"Hurworth","E36000102",40,25,15
"Lascelles","E36000103",160,95,70
"Lingfield","E36000104",100,55,45
"Middleton St George","E36000105",50,30,25
"Mowden","E36000106",25,10,15
"North Road","E36000107",315,200,120
"Northgate","E36000108",290,185,100
"Park East","E36000109",285,165,120
"Park West","E36000110",30,20,10
"Pierremont","E36000111",175,115,60
"Sadberge and Whessoe","E36000112",20,10,5
"Annfield Plain","E36001063",265,165,100
"Aycliffe East","E36001064",145,90,60
"Aycliffe North","E36001065",150,100,50
"Aycliffe West","E36001066",235,130,105
"Barnard Castle East","E36001067",105,60,45
"Barnard Castle West","E36001068",60,35,25
"Belmont","E36001069",50,35,15
"Benfieldside","E36001070",95,60,35
"Bishop Auckland Town","E36001071",225,130,100
"Blackhalls","E36001072",255,150,105
"Brandon","E36001073",265,165,100
"Burnopfield and Dipton","E36001074",110,60,45
"Chester-le-Street North and East","E36001075",100,60,45
"Chester-le-Street South","E36001076",110,75,35
"Chester-le-Street West Central","E36001077",275,165,110
"Chilton","E36001078",285,180,105
"Consett North","E36001079",190,120,70
"Coundon","E36001080",350,230,120
"Coxhoe","E36001081",135,85,50
"Craghead and South Moor","E36001082",365,210,155
"Crook North and Tow Law","E36001083",210,135,75
"Crook South","E36001084",285,170,115
"Dawdon","E36001085",320,210,110
"Deerness Valley","E36001086",215,130,85
"Delves Lane and Consett South","E36001087",285,165,120
"Deneside","E36001088",200,130,70
"Durham South","E36001089",120,70,50
"Easington","E36001090",285,180,105
"Elvet","E36001091",70,60,10
"Esh","E36001092",95,50,50
"Evenwood","E36001093",160,90,70
"Ferryhill","E36001094",315,190,125
"Framwellgate Moor","E36001095",130,70,60
"Gilesgate","E36001096",215,120,90
"Horden","E36001097",435,265,165
"Lanchester","E36001098",80,45,35
"Leadgate and Medomsley","E36001099",180,95,80
"Lumley","E36001100",125,75,50
"Murton","E36001101",220,120,100
"Neville's Cross","E36001102",35,25,10
"Newton Hall","E36001103",65,40,20
"Ouston and Urpeth","E36001104",130,80,50
"Pelton","E36001105",140,90,50
"Peterlee East","E36001106",335,205,135
"Peterlee West","E36001107",210,125,85
"Sacriston","E36001108",185,125,60
"Seaham","E36001109",105,55,50
"Sedgefield","E36001110",50,30,20
"Sherburn","E36001111",165,85,80
"Shildon East","E36001112",290,175,120
"Shildon West","E36001113",305,180,120
"Shotton","E36001114",275,170,110
"Spennymoor and Middlestone","E36001115",215,135,80
"Stanley","E36001116",310,185,125
"Tanfield","E36001117",190,110,80
"Thornley","E36001118",210,125,85
"Trimdon","E36001119",195,115,80
"Tudhoe","E36001120",200,115,80
"Weardale","E36001121",115,60,55
"West Auckland","E36001122",170,105,65
"Willington","E36001123",280,170,110
"Wingate","E36001124",215,125,85
"Woodhouse Close","E36001125",340,215,125
"Brus","E36000001",360,215,145
"Burn Valley","E36000002",345,225,120
"Dyke House","E36000003",305,165,140
"Elwick","E36000004",15,10,5
"Fens","E36000005",85,50,35
"Foggy Furze","E36000006",205,140,70
"Grange","E36000007",285,180,105
"Greatham","E36000008",30,20,10
"Hart","E36000009",65,45,20
"Owton","E36000010",320,190,130
"Park","E36000011",55,30,25
"Rift House","E36000012",210,125,85
"Rossmere","E36000013",175,105,70
"Seaton","E36000014",95,55,35
"St Hilda","E36000015",220,145,70
"Stranton","E36000016",485,320,160
"Throston","E36000017",135,85,50
"Acklam","E36000018",80,55,25
"Ayresome","E36000019",200,105,95
"Beckfield","E36000020",225,155,70
"Beechwood","E36000021",245,130,115
"Brookfield","E36000022",45,30,15
"Clairville","E36000023",240,145,95
"Coulby Newham","E36000024",160,100,60
"Gresham","E36000025",680,435,240
"Hemlington","E36000026",210,125,85
"Kader","E36000027",45,30,20
"Ladgate","E36000028",155,100,55
"Linthorpe","E36000029",220,130,90
"Marton","E36000030",30,20,15
"Marton West","E36000031",30,20,15
"Middlehaven","E36000032",440,325,115
"North Ormesby and Brambles Farm","E36000033",435,265,170
"Nunthorpe","E36000034",25,15,5
"Pallister","E36000035",240,130,110
"Park","E36000036",200,130,70
"Park End","E36000037",260,155,105
"Stainton and Thornton","E36000038",55,35,20
"Thorntree","E36000039",385,240,145
"University","E36000040",385,245,140
"Alnwick","E36001126",130,75,55
"Amble","E36001127",120,65,50
"Amble West with Warkworth","E36001128",35,20,15
"Ashington Central","E36001129",220,130,95
"Bamburgh","E36001130",30,15,15
"Bedlington Central","E36001131",75,40,35
"Bedlington East","E36001132",180,105,75
"Bedlington West","E36001133",80,50,30
"Bellingham","E36001134",30,10,15
"Berwick East","E36001135",70,35,30
"Berwick North","E36001136",65,35,30
"Berwick West with Ord","E36001137",45,25,15
"Bothal","E36001138",85,55,30
"Bywell","E36001139",25,25,5
"Chevington with Longhorseley","E36001140",100,65,35
"Choppington","E36001141",120,75,45
"College","E36001142",290,185,105
"Corbridge","E36001143",25,20,5
"Cowpen","E36001144",170,100,70
"Cramlington East","E36001145",145,80,65
"Cramlington Eastfield","E36001146",100,55,45
"Cramlington North","E36001147",20,15,10
"Cramlington South East","E36001148",65,40,20
"Cramlington Village","E36001149",90,60,30
"Cramlington West","E36001150",145,100,50
"Croft","E36001151",305,205,100
"Haltwhistle","E36001152",50,30,20
"Hartley","E36001153",70,40,30
"Haydon","E36001154",60,35,25
"Haydon and Hadrian","E36001155",40,25,20
"Hexham Central with Acomb","E36001156",60,35,25
"Hexham East","E36001157",50,30,20
"Hexham West","E36001158",20,15,5
"Hirst","E36001159",360,210,150
"Holywell","E36001160",120,85,35
"Humshaugh","E36001161",30,15,15
"Isabella","E36001162",235,155,80
"Kitty Brewster","E36001163",205,130,75
"Lesbury","E36001164",50,25,25
"Longhoughton","E36001165",20,15,5
"Lynemouth","E36001166",130,75,55
"Morpeth Kirkhill","E36001167",65,40,25
"Morpeth North","E36001168",45,25,20
"Morpeth Stobhill","E36001169",80,55,25
"Newbiggin Central and East","E36001170",175,100,75
"Newsham","E36001171",220,135,80
"Norham and Islandshires","E36001172",35,20,15
"Pegswood","E36001173",75,50,25
"Plessey","E36001174",55,25,30
"Ponteland East","E36001175",30,15,15
"Ponteland North","E36001176",25,10,10
"Ponteland South with Heddon","E36001177",15,10,5
"Ponteland West","E36001178",10,5,5
"Prudhoe East","E36001179",90,60,30
"Prudhoe West","E36001180",50,30,20
"Rothbury","E36001181",35,25,10
"Seaton with Newbiggin West","E36001182",125,80,45
"Seghill with Seaton Delaval","E36001183",180,100,80
"Shilbottle","E36001184",55,30,25
"Sleekburn","E36001185",135,90,45
"South Blyth","E36001186",30,20,10
"South Tynedale","E36001187",20,10,10
"Stakeford","E36001188",75,55,20
"Stocksfield and Broomhaugh","E36001189",35,20,15
"Ulgham","E36001190",60,35,25
"Wensleydale","E36001191",130,85,45
"Wooler","E36001192",35,15,20
"Brotton","E36000041",175,110,65
"Coatham","E36000042",330,210,115
"Dormanstown","E36000043",175,100,75
"Eston","E36000044",255,165,90
"Grangetown","E36000045",330,200,130
"Guisborough","E36000046",205,130,75
"Hutton","E36000047",75,45,30
"Kirkleatham","E36000048",215,120,95
"Lockwood","E36000049",55,35,20
"Loftus","E36000050",165,105,60
"Longbeck","E36000051",65,35,30
"Newcomen","E36000052",90,55,35
"Normanby","E36000053",140,90,50
"Ormesby","E36000054",100,65,35
"Saltburn","E36000055",85,55,30
"Skelton","E36000056",165,85,80
"South Bank","E36000057",325,215,110
"St Germain's","E36000058",115,65,45
"Teesville","E36000059",180,115,65
"West Dyke","E36000060",70,50,20
"Westworth","E36000061",50,25,25
"Zetland","E36000062",55,40,15
"Billingham Central","E36000063",200,110,90
"Billingham East","E36000064",265,150,115
"Billingham North","E36000065",100,60,40
"Billingham South","E36000066",165,115,55
"Billingham West","E36000067",45,25,15
"Bishopsgarth and Elm Tree","E36000068",85,50,35
"Eaglescliffe","E36000069",90,55,35
"Fairfield","E36000070",50,30,25
"Grangefield","E36000071",75,45,30
"Hardwick","E36000072",295,170,125
"Hartburn","E36000073",40,30,10
"Ingleby Barwick East","E36000074",85,45,45
"Ingleby Barwick West","E36000075",85,45,40
"Mandale and Victoria","E36000076",505,305,205
"Newtown","E36000077",415,245,170
"Northern Parishes","E36000078",20,10,10
"Norton North","E36000079",195,120,75
"Norton South","E36000080",210,130,85
"Norton West","E36000081",50,30,20
"Parkfield and Oxbridge","E36000082",540,370,170
"Roseworth","E36000083",240,150,90
"Stainsby Hill","E36000084",215,135,80
"Stockton Town Centre","E36000085",680,460,215
"Village","E36000086",155,90,65
"Western Parishes","E36000087",40,25,15
"Yarm","E36000088",90,50,40
"Birtley","E36006653",200,120,85
"Blaydon","E36006654",250,140,115
"Bridges","E36006655",345,245,100
"Chopwell and Rowlands Gill","E36006656",275,175,100
"Chowdene","E36006657",250,150,100
"Crawcrook and Greenside","E36006658",120,75,50
"Deckham","E36006659",450,275,175
"Dunston and Teams","E36006660",425,285,135
"Dunston Hill and Whickham East","E36006661",130,80,50
"Felling","E36006662",445,270,180
"High Fell","E36006663",395,235,160
"Lamesley","E36006664",230,130,105
"Lobley Hill and Bensham","E36006665",410,245,165
"Low Fell","E36006666",75,45,25
"Pelaw and Heworth","E36006667",175,100,75
"Ryton, Crookhill and Stella","E36006668",170,100,65
"Saltwell","E36006669",400,250,150
"Wardley and Leam Lane","E36006670",200,115,80
"Whickham North","E36006671",190,115,75
"Whickham South and Sunniside","E36006672",75,45,30
"Windy Nook and Whitehills","E36006673",250,140,110
"Winlaton and High Spen","E36006674",165,100,65
"Benwell and Scotswood","E36006675",605,350,255
"Blakelaw","E36006676",415,220,195
"Byker","E36006677",885,575,310
"Castle","E36006678",180,95,90
"Dene","E36006679",80,45,35
"Denton","E36006680",285,160,125
"East Gosforth","E36006681",80,40,35
"Elswick","E36006682",925,605,325
"Fawdon","E36006683",385,225,160
"Fenham","E36006684",290,165,125
"Kenton","E36006685",450,250,200
"Lemington","E36006686",300,170,125
"Newburn","E36006687",290,155,135
"North Heaton","E36006688",110,60,50
"North Jesmond","E36006689",50,40,10
"Ouseburn","E36006690",345,235,110
"Parklands","E36006691",80,40,35
"South Heaton","E36006692",315,205,110
"South Jesmond","E36006693",150,110,40
"Walker","E36006694",730,440,290
"Walkergate","E36006695",325,215,110
"West Gosforth","E36006696",85,50,35
"Westerhope","E36006697",110,60,55
"Westgate","E36006698",565,390,170
"Wingrove","E36006699",555,365,190
"Woolsington","E36006700",370,190,180
"Battle Hill","E36006701",255,165,85
"Benton","E36006702",140,85,55
"Camperdown","E36006703",210,110,100
"Chirton","E36006704",490,290,200
"Collingwood","E36006705",265,160,105
"Cullercoats","E36006706",95,55,40
"Howdon","E36006707",425,265,165
"Killingworth","E36006708",125,65,60
"Longbenton","E36006709",205,120,90
"Monkseaton North","E36006710",65,45,20
"Monkseaton South","E36006711",120,70,50
"Northumberland","E36006712",145,85,60
"Preston","E36006713",95,60,35
"Riverside","E36006714",690,435,255
"St Mary's","E36006715",30,20,10
"Tynemouth","E36006716",170,100,65
"Valley","E36006717",240,145,95
"Wallsend","E36006718",485,310,180
"Weetslade","E36006719",115,75,40
"Whitley Bay","E36006720",190,125,65
"Beacon and Bents","E36006721",600,395,205
"Bede","E36006722",295,170,125
"Biddick and All Saints","E36006723",540,300,240
"Boldon Colliery","E36006724",245,165,80
"Cleadon and East Boldon","E36006725",50,30,20
"Cleadon Park","E36006726",300,170,135
"Fellgate and Hedworth","E36006727",220,120,100
"Harton","E36006728",235,125,110
"Hebburn North","E36006729",315,175,140
"Hebburn South","E36006730",210,125,85
"Horsley Hill","E36006731",275,155,120
"Monkton","E36006732",270,170,100
"Primrose","E36006733",355,220,135
"Simonside and Rekendyke","E36006734",600,400,200
"West Park","E36006735",275,165,110
"Westoe","E36006736",180,120,60
"Whitburn and Marsden","E36006737",150,90,60
"Whiteleas","E36006738",290,175,115
"Barnes","E36006739",220,140,80
"Castle","E36006740",345,195,150
"Copt Hill","E36006741",330,190,140
"Doxford","E36006742",125,70,55
"Fulwell","E36006743",100,60,40
"Hendon","E36006744",935,640,300
"Hetton","E36006745",445,270,175
"Houghton","E36006746",305,165,140
"Millfield","E36006747",450,305,140
"Pallion","E36006748",400,235,170
"Redhill","E36006749",465,275,190
"Ryhope","E36006750",260,150,110
"Sandhill","E36006751",460,270,190
"Shiney Row","E36006752",335,195,140
"Silksworth","E36006753",280,165,115
"Southwick","E36006754",515,315,205
"St Anne's","E36006755",395,230,165
"St Chad's","E36006756",220,135,85
"St Michael's","E36006757",255,185,70
"St Peter's","E36006758",260,175,85
"Washington Central","E36006759",270,155,115
"Washington East","E36006760",205,120,85
"Washington North","E36006761",540,310,230
"Washington South","E36006762",200,125,75
"Washington West","E36006763",250,150,100
"Audley","E36000156",330,180,150
"Bastwell","E36000157",280,150,130
"Beardwood with Lammack","E36000158",50,25,30
"Corporation Park","E36000159",210,140,70
"Earcroft","E36000160",145,80,65
"East Rural","E36000161",10,10,5
"Ewood","E36000162",290,160,130
"Fernhurst","E36000163",50,25,25
"Higher Croft","E36000164",240,145,95
"Little Harwood","E36000165",205,135,70
"Livesey with Pleasington","E36000166",60,35,25
"Marsh House","E36000167",135,80,55
"Meadowhead","E36000168",155,90,70
"Mill Hill","E36000169",295,175,120
"North Turton with Tockholes","E36000170",15,10,10
"Queen's Park","E36000171",235,140,95
"Roe Lee","E36000172",100,60,40
"Shadsworth with Whitebirk","E36000173",380,220,160
"Shear Brow","E36000174",220,120,105
"Sudell","E36000175",320,175,145
"Sunnyhurst","E36000176",155,90,65
"Wensley Fold","E36000177",485,310,170
"Whitehall","E36000178",45,25,20
"Anchorsholme","E36000179",95,60,35
"Bispham","E36000180",95,60,35
"Bloomfield","E36000181",710,475,235
"Brunswick","E36000182",360,230,130
"Claremont","E36000183",705,470,235
"Clifton","E36000184",190,90,100
"Greenlands","E36000185",115,75,40
"Hawes Side","E36000186",215,110,105
"Highfield","E36000187",100,55,45
"Ingthorpe","E36000188",165,95,70
"Layton","E36000189",175,105,70
"Marton","E36000190",90,50,40
"Norbreck","E36000191",35,15,15
"Park","E36000192",325,195,130
"Squires Gate","E36000193",95,65,30
"Stanley","E36000194",85,45,40
"Talbot","E36000195",560,365,195
"Tyldesley","E36000196",220,125,90
"Victoria","E36000197",260,145,120
"Warbreck","E36000198",220,140,75
"Waterloo","E36000199",370,240,125
"Alderley Edge","E36001193",30,15,15
"Alsager","E36001194",130,75,55
"Audlem","E36001195",35,15,20
"Bollington","E36001196",55,30,25
"Brereton Rural","E36001197",30,15,15
"Broken Cross and Upton","E36001198",105,60,50
"Bunbury","E36001199",25,15,10
"Chelford","E36001200",10,5,5
"Congleton East","E36001201",145,90,55
"Congleton West","E36001202",120,75,45
"Crewe Central","E36001203",310,160,150
"Crewe East","E36001204",255,135,120
"Crewe North","E36001205",70,40,30
"Crewe South","E36001206",330,195,135
"Crewe St Barnabas","E36001207",175,85,90
"Crewe West","E36001208",225,125,100
"Dane Valley","E36001209",60,30,30
"Disley","E36001210",35,20,10
"Gawsworth","E36001211",20,10,10
"Handforth","E36001212",165,95,70
"Haslington","E36001213",50,30,20
"High Legh","E36001214",10,5,5
"Knutsford","E36001215",100,60,40
"Leighton","E36001216",35,20,15
"Macclesfield Central","E36001217",190,130,60
"Macclesfield East","E36001218",75,55,20
"Macclesfield Hurdsfield","E36001219",95,65,30
"Macclesfield South","E36001220",170,100,70
"Macclesfield Tytherington","E36001221",55,40,15
"Macclesfield West and Ivy","E36001222",130,80,45
"Middlewich","E36001223",140,75,65
"Mobberley","E36001224",20,10,10
"Nantwich North and West","E36001225",120,60,55
"Nantwich South and Stapeley","E36001226",65,35,30
"Odd Rode","E36001227",65,35,30
"Poynton East and Pott Shrigley","E36001228",25,15,10
"Poynton West and Adlington","E36001229",30,20,10
"Prestbury","E36001230",15,10,5
"Sandbach Elworth","E36001231",60,40,20
"Sandbach Ettiley Heath and Wheelock","E36001232",45,25,20
"Sandbach Heath and East","E36001233",45,25,20
"Sandbach Town","E36001234",40,20,20
"Shavington","E36001235",40,25,15
"Sutton","E36001236",20,15,10
"Willaston and Rope","E36001237",30,20,10
"Wilmslow Dean Row","E36001238",25,15,10
"Wilmslow East","E36001239",5,5,0
"Wilmslow Lacey Green","E36001240",45,20,30
"Wilmslow West and Chorley","E36001241",35,20,15
"Wistaston","E36001242",45,25,20
"Wrenbury","E36001243",25,15,10
"Wybunbury","E36001244",20,5,15
"Blacon","E36001245",485,300,185
"Boughton","E36001246",130,90,40
"Chester City","E36001247",140,100,40
"Chester Villages","E36001248",65,35,30
"Davenham and Moulton","E36001249",115,65,55
"Dodleston and Huntington","E36001250",45,30,15
"Ellesmere Port Town","E36001251",390,235,155
"Elton","E36001252",55,30,25
"Farndon","E36001253",25,10,15
"Frodsham","E36001254",80,45,35
"Garden Quarter","E36001255",90,55,35
"Gowy","E36001256",20,15,5
"Grange","E36001257",195,105,90
"Great Boughton","E36001258",60,30,30
"Handbridge Park","E36001259",75,40,35
"Hartford and Greenbank","E36001260",90,40,50
"Helsby","E36001261",30,20,10
"Hoole","E36001262",145,95,50
"Kingsley","E36001263",20,10,10
"Lache","E36001264",155,85,70
"Ledsham and Manor","E36001265",60,35,25
"Little Neston and Burton","E36001266",55,35,20
"Malpas","E36001267",30,15,15
"Marbury","E36001268",120,65,50
"Neston","E36001269",85,45,35
"Netherpool","E36001270",85,50,35
"Newton","E36001271",145,80,65
"Parkgate","E36001272",20,10,10
"Rossmore","E36001273",220,125,95
"Saughall and Mollington","E36001274",30,15,15
"Shakerley","E36001275",50,30,20
"St Paul's","E36001276",200,110,90
"Strawberry","E36001277",20,10,10
"Sutton","E36001278",125,80,45
"Tarporley","E36001279",30,10,20
"Tarvin and Kelsall","E36001280",55,25,30
"Tattenhall","E36001281",20,10,10
"Upton","E36001282",100,50,50
"Weaver and Cuddington","E36001283",145,85,60
"Whitby","E36001284",65,40,25
"Willaston and Thornton","E36001285",15,5,10
"Winnington and Castle","E36001286",240,145,95
"Winsford Over and Verdin","E36001287",330,190,140
"Winsford Swanlow and Dene","E36001288",175,90,85
"Winsford Wharton","E36001289",215,125,95
"Witton and Rudheath","E36001290",105,65,40
"Appleton","E36000113",220,130,90
"Beechwood","E36000114",30,20,10
"Birchfield","E36000115",40,20,20
"Broadheath","E36000116",165,90,75
"Daresbury","E36000117",25,20,5
"Ditton","E36000118",185,110,75
"Farnworth","E36000119",85,55,30
"Grange","E36000120",265,145,115
"Hale","E36000121",15,5,10
"Halton Brook","E36000122",165,95,70
"Halton Castle","E36000123",250,135,115
"Halton Lea","E36000124",270,155,115
"Halton View","E36000125",155,90,65
"Heath","E36000126",80,50,35
"Hough Green","E36000127",230,140,90
"Kingsway","E36000128",180,90,90
"Mersey","E36000129",255,140,115
"Norton North","E36000130",110,65,50
"Norton South","E36000131",215,115,100
"Riverside","E36000132",210,115,100
"Windmill Hill","E36000133",110,65,45
"Appleton","E36000134",40,20,20
"Bewsey and Whitecross","E36000135",475,275,200
"Birchwood","E36000136",215,115,95
"Burtonwood and Winwick","E36000137",70,45,25
"Culcheth, Glazebury and Croft","E36000138",85,45,40
"Fairfield and Howley","E36000139",415,235,180
"Grappenhall and Thelwall","E36000140",50,25,20
"Great Sankey North","E36000141",55,30,25
"Great Sankey South","E36000142",135,80,55
"Hatton, Stretton and Walton","E36000143",10,5,5
"Latchford East","E36000144",270,150,125
"Latchford West","E36000145",125,90,35
"Lymm","E36000146",90,45,40
"Orford","E36000147",255,155,100
"Penketh and Cuerdley","E36000148",50,30,20
"Poplars and Hulme","E36000149",330,190,140
"Poulton North","E36000150",210,105,105
"Poulton South","E36000151",55,25,30
"Rixton and Woolston","E36000152",60,30,25
"Stockton Heath","E36000153",40,20,20
"Westbrook","E36000154",40,25,20
"Whittle Hall","E36000155",130,80,45
"All Saints","E36001865",55,40,20
"Aspatria","E36001866",55,35,20
"Boltons","E36001867",5,5,5
"Broughton St Bridget's","E36001868",25,10,15
"Christchurch","E36001869",45,20,25
"Clifton","E36001870",20,15,10
"Crummock","E36001871",5,0,0
"Dalton","E36001872",5,5,0
"Derwent Valley","E36001873",5,0,0
"Ellen","E36001874",35,15,15
"Ellenborough","E36001875",80,45,35
"Ewanrigg","E36001876",105,50,55
"Flimby","E36001877",35,20,15
"Harrington","E36001878",30,20,10
"Holme","E36001879",25,15,10
"Keswick","E36001880",30,15,15
"Marsh","E36001881",5,5,0
"Moorclose","E36001882",165,85,80
"Moss Bay","E36001883",210,125,85
"Netherhall","E36001884",85,55,25
"Seaton","E36001885",45,25,20
"Silloth","E36001886",35,20,15
"Solway","E36001887",15,10,5
"St John's","E36001888",95,65,30
"St Michael's","E36001889",210,135,75
"Stainburn","E36001890",10,10,0
"Wampool","E36001891",10,5,5
"Warnell","E36001892",5,5,0
"Waver","E36001893",10,5,5
"Wharrels","E36001894",0,0,0
"Wigton","E36001895",70,45,25
"Barrow Island","E36001896",120,85,35
"Central","E36001897",195,130,65
"Dalton North","E36001898",55,35,15
"Dalton South","E36001899",70,50,20
"Hawcoat","E36001900",20,15,5
"Hindpool","E36001901",225,135,95
"Newbarns","E36001902",60,40,20
"Ormsgill","E36001903",170,110,60
"Parkside","E36001904",70,50,20
"Risedale","E36001905",115,70,45
"Roosecote","E36001906",15,10,5
"Walney North","E36001907",45,30,15
"Walney South","E36001908",55,30,25
"Belah","E36001909",50,25,25
"Belle Vue","E36001910",110,60,45
"Botcherby","E36001911",140,75,65
"Brampton","E36001912",65,35,30
"Burgh","E36001913",10,5,5
"Castle","E36001914",215,135,80
"Currock","E36001915",120,65,60
"Dalston","E36001916",45,25,15
"Denton Holme","E36001917",130,80,50
"Great Corby and Geltsdale","E36001918",10,5,5
"Harraby","E36001919",80,50,30
"Hayton","E36001920",10,10,5
"Irthing","E36001921",10,5,5
"Longtown & Rockcliffe","E36001922",50,30,20
"Lyne","E36001923",5,5,0
"Morton","E36001924",125,85,45
"St Aidans","E36001925",160,100,60
"Stanwix Rural","E36001926",20,10,10
"Stanwix Urban","E36001927",30,20,10
"Upperby","E36001928",145,75,65
"Wetheral","E36001929",20,15,5
"Yewdale","E36001930",55,30,20
"Arlecdon","E36001931",15,5,10
"Beckermet","E36001932",30,20,10
"Bootle","E36001933",10,5,5
"Bransty","E36001934",45,30,15
"Cleator Moor North","E36001935",85,50,35
"Cleator Moor South","E36001936",75,40,35
"Distington","E36001937",80,45,30
"Egremont North","E36001938",90,45,40
"Egremont South","E36001939",75,50,25
"Ennerdale","E36001940",10,5,5
"Frizington","E36001941",50,30,25
"Gosforth","E36001942",5,0,5
"Harbour","E36001943",170,120,50
"Haverigg","E36001944",10,5,5
"Hensingham","E36001945",65,40,25
"Hillcrest","E36001946",10,5,0
"Holborn Hill","E36001947",35,25,10
"Kells","E36001948",40,20,20
"Millom Without","E36001949",5,5,0
"Mirehouse","E36001950",105,60,45
"Moresby","E36001951",10,10,5
"Newtown","E36001952",75,50,25
"Sandwith","E36001953",110,60,50
"Seascale","E36001954",10,5,5
"St Bees","E36001955",10,5,5
"Alston Moor","E36001956",25,20,5
"Appleby (Appleby)","E36001957",25,15,5
"Appleby (Bongate)","E36001958",20,10,15
"Askham","E36001959",10,5,0
"Brough","E36001960",10,5,5
"Crosby Ravensworth","E36001961",5,0,0
"Dacre","E36001962",5,0,0
"Eamont","E36001963",5,5,0
"Greystoke","E36001964",5,0,5
"Hartside","E36001965",5,0,5
"Hesket","E36001966",5,5,0
"Kirkby Stephen,Ravenstonedale","E36001967",40,25,15
"Kirkby Thore","E36001968",15,5,10
"Kirkoswald","E36001969",10,5,0
"Langwathby","E36001970",5,0,0
"Lazonby","E36001971",5,0,5
"Long Marton","E36001972",5,0,5
"Morland","E36001973",5,5,0
"Orton with Tebay","E36001974",10,5,5
"Penrith Carleton","E36001975",10,5,5
"Penrith East","E36001976",40,25,15
"Penrith North","E36001977",45,25,20
"Penrith Pategill","E36001978",15,10,5
"Penrith South","E36001979",40,25,20
"Penrith West","E36001980",50,30,15
"Shap","E36001981",10,10,5
"Skelton","E36001982",5,0,0
"Ullswater","E36001983",5,5,0
"Warcop","E36001984",10,5,5
"Ambleside and Grasmere","E36001985",15,10,5
"Arnside and Beetham","E36001986",10,5,5
"Broughton","E36001987",10,5,5
"Burneside","E36001988",15,10,10
"Burton and Holme","E36001989",5,0,5
"Cartmel and Grange West","E36001990",5,0,5
"Coniston and Crake Valley","E36001991",5,0,5
"Crooklands","E36001992",10,5,5
"Grange North","E36001993",10,5,5
"Grange South","E36001994",5,0,5
"Hawkshead","E36001995",0,0,0
"Holker","E36001996",5,0,5
"Kendal Castle","E36001997",10,5,0
"Kendal Far Cross","E36001998",20,10,15
"Kendal Fell","E36001999",30,20,10
"Kendal Heron Hill","E36002000",5,0,5
"Kendal Highgate","E36002001",20,10,10
"Kendal Kirkland","E36002002",35,20,15
"Kendal Mintsfeet","E36002003",15,10,5
"Kendal Nether","E36002004",10,5,5
"Kendal Oxenholme and Natland","E36002005",10,5,5
"Kendal Parks","E36002006",10,5,5
"Kendal Romney","E36002007",30,15,15
"Kendal Stonecross","E36002008",5,5,5
"Kendal Strickland","E36002009",15,10,5
"Kendal Underley","E36002010",20,10,10
"Levens","E36002011",5,5,0
"Low Furness","E36002012",5,5,0
"Lyth Valley","E36002013",0,0,0
"Mid Furness","E36002014",15,10,5
"Milnthorpe","E36002015",10,5,5
"Sedbergh and Kirkby Lonsdale","E36002016",20,15,5
"Staveley-in-Cartmel","E36002017",5,0,0
"Staveley-in-Westmorland","E36002018",10,5,5
"Ulverston Central","E36002019",15,10,5
"Ulverston East","E36002020",30,15,15
"Ulverston North","E36002021",15,5,10
"Ulverston South","E36002022",10,5,5
"Ulverston Town","E36002023",20,15,10
"Ulverston West","E36002024",5,5,0
"Whinfell","E36002025",5,0,0
"Windermere Applethwaite and Troutbeck","E36002026",5,0,5
"Windermere Bowness North","E36002027",10,5,0
"Windermere Bowness South","E36002028",5,5,0
"Windermere Town","E36002029",10,5,5
"Astley Bridge","E36006236",230,135,95
"Bradshaw","E36006237",215,115,95
"Breightmet","E36006238",510,280,225
"Bromley Cross","E36006239",105,55,50
"Crompton","E36006240",580,325,255
"Farnworth","E36006241",720,410,310
"Great Lever","E36006242",590,350,245
"Halliwell","E36006243",910,565,350
"Harper Green","E36006244",445,235,210
"Heaton and Lostock","E36006245",95,55,40
"Horwich and Blackrod","E36006246",180,95,85
"Horwich North East","E36006247",205,115,90
"Hulton","E36006248",300,175,125
"Kearsley","E36006249",265,145,120
"Little Lever and Darcy Lever","E36006250",240,140,100
"Rumworth","E36006251",725,420,305
"Smithills","E36006252",395,225,170
"Tonge with the Haulgh","E36006253",595,390,210
"Westhoughton North and Chew Moor","E36006254",145,75,70
"Westhoughton South","E36006255",220,115,105
"Besses","E36006256",270,150,115
"Church","E36006257",150,90,60
"East","E36006258",485,285,200
"Elton","E36006259",195,110,85
"Holyrood","E36006260",205,125,80
"Moorside","E36006261",560,315,240
"North Manor","E36006262",70,35,30
"Pilkington Park","E36006263",115,75,40
"Radcliffe East","E36006264",360,195,165
"Radcliffe North","E36006265",205,115,90
"Radcliffe West","E36006266",340,180,160
"Ramsbottom","E36006267",135,85,50
"Redvales","E36006268",330,185,145
"Sedgley","E36006269",165,105,60
"St Mary's","E36006270",215,135,80
