"Ward","Code","Total","Male","Female","wards","Age","Aged 18-24"
"Cramlington South East","E36001148",15,10,5
"Cramlington Village","E36001149",15,10,5
"Cramlington West","E36001150",40,25,10
"Croft","E36001151",65,50,15
"Haltwhistle","E36001152",10,5,5
"Hartley","E36001153",15,10,5
"Haydon","E36001154",15,10,10
"Haydon and Hadrian","E36001155",5,5,5
"Hexham Central with Acomb","E36001156",5,5,0
"Hexham East","E36001157",10,5,0
"Hexham West","E36001158",0,0,0
"Hirst","E36001159",85,50,35
"Holywell","E36001160",20,15,5
"Humshaugh","E36001161",5,5,0
"Isabella","E36001162",65,40,25
"Kitty Brewster","E36001163",65,45,20
"Lesbury","E36001164",5,5,0
"Longhoughton","E36001165",5,0,0
"Lynemouth","E36001166",25,15,10
"Morpeth Kirkhill","E36001167",15,10,5
"Morpeth North","E36001168",10,5,5
"Morpeth Stobhill","E36001169",15,10,5
"Newbiggin Central and East","E36001170",30,25,10
"Newsham","E36001171",60,35,25
"Norham and Islandshires","E36001172",5,0,0
"Pegswood","E36001173",15,15,0
"Plessey","E36001174",10,0,5
"Ponteland East","E36001175",5,0,0
"Ponteland North","E36001176",5,0,5
"Ponteland South with Heddon","E36001177",5,5,0
"Ponteland West","E36001178",0,0,0
"Prudhoe East","E36001179",20,20,5
"Prudhoe West","E36001180",15,10,5
"Rothbury","E36001181",5,5,0
"Seaton with Newbiggin West","E36001182",35,20,15
"Seghill with Seaton Delaval","E36001183",50,30,20
"Shilbottle","E36001184",15,10,5
"Sleekburn","E36001185",30,20,10
"South Blyth","E36001186",10,10,0
"South Tynedale","E36001187",5,0,0
"Stakeford","E36001188",15,15,0
"Stocksfield and Broomhaugh","E36001189",10,5,5
"Ulgham","E36001190",15,10,5
"Wensleydale","E36001191",30,20,10
"Wooler","E36001192",10,5,5
"Brotton","E36000041",45,30,10
"Coatham","E36000042",55,35,20
"Dormanstown","E36000043",40,30,10
"Eston","E36000044",50,35,20
"Grangetown","E36000045",85,50,35
"Guisborough","E36000046",45,30,15
"Hutton","E36000047",20,15,5
"Kirkleatham","E36000048",50,25,25
"Lockwood","E36000049",15,10,5
"Loftus","E36000050",45,25,15
"Longbeck","E36000051",15,10,5
"Newcomen","E36000052",20,15,5
"Normanby","E36000053",30,20,10
"Ormesby","E36000054",15,10,5
"Saltburn","E36000055",15,10,5
"Skelton","E36000056",40,20,20
"South Bank","E36000057",65,40,30
"St Germain's","E36000058",25,10,15
"Teesville","E36000059",45,30,15
"West Dyke","E36000060",15,10,5
"Westworth","E36000061",15,10,5
"Zetland","E36000062",10,10,0
"Billingham Central","E36000063",55,35,20
"Billingham East","E36000064",60,35,25
"Billingham North","E36000065",25,15,10
"Billingham South","E36000066",40,30,15
"Billingham West","E36000067",15,10,5
"Bishopsgarth and Elm Tree","E36000068",25,15,10
"Eaglescliffe","E36000069",25,15,10
"Fairfield","E36000070",15,10,5
"Grangefield","E36000071",30,20,5
"Hardwick","E36000072",70,45,25
"Hartburn","E36000073",10,10,0
"Ingleby Barwick East","E36000074",30,20,15
"Ingleby Barwick West","E36000075",25,10,10
"Mandale and Victoria","E36000076",105,70,35
"Newtown","E36000077",95,55,40
"Northern Parishes","E36000078",5,5,0
"Norton North","E36000079",40,20,20
"Norton South","E36000080",40,25,15
"Norton West","E36000081",10,5,5
"Parkfield and Oxbridge","E36000082",105,65,40
"Roseworth","E36000083",70,40,25
"Stainsby Hill","E36000084",45,20,20
"Stockton Town Centre","E36000085",120,75,40
"Village","E36000086",30,20,15
"Western Parishes","E36000087",10,5,5
"Yarm","E36000088",20,10,10
"Birtley","E36006653",45,25,20
"Blaydon","E36006654",65,35,25
"Bridges","E36006655",55,30,25
"Chopwell and Rowlands Gill","E36006656",65,40,20
"Chowdene","E36006657",60,40,20
"Crawcrook and Greenside","E36006658",25,15,10
"Deckham","E36006659",80,55,25
"Dunston and Teams","E36006660",70,50,20
"Dunston Hill and Whickham East","E36006661",35,25,15
"Felling","E36006662",85,55,30
"High Fell","E36006663",100,70,30
"Lamesley","E36006664",55,35,20
"Lobley Hill and Bensham","E36006665",80,55,25
"Low Fell","E36006666",20,10,10
"Pelaw and Heworth","E36006667",35,15,15
"Ryton, Crookhill and Stella","E36006668",40,30,10
"Saltwell","E36006669",60,40,20
"Wardley and Leam Lane","E36006670",45,20,25
"Whickham North","E36006671",35,25,10
"Whickham South and Sunniside","E36006672",15,10,5
"Windy Nook and Whitehills","E36006673",55,35,20
"Winlaton and High Spen","E36006674",35,25,15
"Benwell and Scotswood","E36006675",95,55,40
"Blakelaw","E36006676",80,50,25
"Byker","E36006677",160,100,55
"Castle","E36006678",35,20,15
"Dene","E36006679",20,10,10
"Denton","E36006680",65,45,20
"East Gosforth","E36006681",10,5,5
"Elswick","E36006682",135,85,50
"Fawdon","E36006683",75,50,25
"Fenham","E36006684",45,25,20
"Kenton","E36006685",80,50,30
"Lemington","E36006686",65,40,25
"Newburn","E36006687",55,30,20
"North Heaton","E36006688",15,10,5
"North Jesmond","E36006689",15,10,5
"Ouseburn","E36006690",55,35,20
"Parklands","E36006691",10,10,5
"South Heaton","E36006692",50,35,20
"South Jesmond","E36006693",25,15,10
"Walker","E36006694",150,100,50
"Walkergate","E36006695",65,40,25
"West Gosforth","E36006696",25,15,10
"Westerhope","E36006697",25,20,10
"Westgate","E36006698",95,65,30
"Wingrove","E36006699",80,55,25
"Woolsington","E36006700",75,35,35
"Battle Hill","E36006701",65,45,15
"Benton","E36006702",30,25,10
"Camperdown","E36006703",40,20,15
"Chirton","E36006704",100,65,35
"Collingwood","E36006705",70,40,25
"Cullercoats","E36006706",15,15,5
"Howdon","E36006707",85,65,20
"Killingworth","E36006708",20,15,5
"Longbenton","E36006709",45,30,10
"Monkseaton North","E36006710",15,10,5
"Monkseaton South","E36006711",25,20,5
"Northumberland","E36006712",30,20,10
"Preston","E36006713",20,15,5
"Riverside","E36006714",150,85,65
"St Mary's","E36006715",5,5,0
"Tynemouth","E36006716",30,20,10
"Valley","E36006717",60,45,15
"Wallsend","E36006718",105,65,40
"Weetslade","E36006719",25,20,10
"Whitley Bay","E36006720",35,20,15
"Beacon and Bents","E36006721",110,70,35
"Bede","E36006722",65,45,15
"Biddick and All Saints","E36006723",105,65,40
"Boldon Colliery","E36006724",60,45,15
"Cleadon and East Boldon","E36006725",15,5,10
"Cleadon Park","E36006726",70,45,30
"Fellgate and Hedworth","E36006727",40,20,20
"Harton","E36006728",50,35,15
"Hebburn North","E36006729",55,30,20
"Hebburn South","E36006730",40,30,10
"Horsley Hill","E36006731",50,25,20
"Monkton","E36006732",65,40,25
"Primrose","E36006733",60,40,20
"Simonside and Rekendyke","E36006734",115,70,45
"West Park","E36006735",50,35,15
"Westoe","E36006736",40,25,15
"Whitburn and Marsden","E36006737",35,25,10
"Whiteleas","E36006738",60,45,15
"Barnes","E36006739",45,30,15
"Castle","E36006740",85,50,35
"Copt Hill","E36006741",90,55,35
"Doxford","E36006742",35,15,15
"Fulwell","E36006743",25,15,10
"Hendon","E36006744",170,110,60
"Hetton","E36006745",100,65,35
"Houghton","E36006746",80,50,30
"Millfield","E36006747",90,65,30
"Pallion","E36006748",95,60,35
"Redhill","E36006749",115,75,35
"Ryhope","E36006750",55,35,20
"Sandhill","E36006751",110,60,50
"Shiney Row","E36006752",75,50,25
"Silksworth","E36006753",70,45,25
"Southwick","E36006754",115,75,35
"St Anne's","E36006755",85,50,30
"St Chad's","E36006756",35,25,10
"St Michael's","E36006757",50,30,20
"St Peter's","E36006758",35,25,10
"Washington Central","E36006759",55,35,20
"Washington East","E36006760",50,30,15
"Washington North","E36006761",120,65,55
"Washington South","E36006762",40,30,10
"Washington West","E36006763",70,50,20
"Audley","E36000156",65,30,35
"Bastwell","E36000157",55,35,20
"Beardwood with Lammack","E36000158",15,5,5
"Corporation Park","E36000159",30,25,10
"Earcroft","E36000160",35,15,15
"East Rural","E36000161",0,0,0
"Ewood","E36000162",55,35,25
"Fernhurst","E36000163",15,5,10
"Higher Croft","E36000164",45,30,15
"Little Harwood","E36000165",45,30,15
"Livesey with Pleasington","E36000166",15,10,5
"Marsh House","E36000167",15,10,5
"Meadowhead","E36000168",35,20,15
"Mill Hill","E36000169",40,25,10
"North Turton with Tockholes","E36000170",0,0,0
"Queen's Park","E36000171",40,25,15
"Roe Lee","E36000172",20,15,10
"Shadsworth with Whitebirk","E36000173",70,40,30
"Shear Brow","E36000174",45,30,20
"Sudell","E36000175",65,35,30
"Sunnyhurst","E36000176",35,20,15
"Wensley Fold","E36000177",80,50,25
"Whitehall","E36000178",10,5,5
"Anchorsholme","E36000179",10,5,5
"Bispham","E36000180",15,10,5
"Bloomfield","E36000181",95,65,30
"Brunswick","E36000182",60,45,15
"Claremont","E36000183",100,60,40
"Clifton","E36000184",30,15,15
"Greenlands","E36000185",20,15,5
"Hawes Side","E36000186",35,15,20
"Highfield","E36000187",10,5,5
"Ingthorpe","E36000188",30,15,15
"Layton","E36000189",30,15,15
"Marton","E36000190",10,5,5
"Norbreck","E36000191",5,5,5
"Park","E36000192",70,45,25
"Squires Gate","E36000193",20,10,5
"Stanley","E36000194",10,5,5
"Talbot","E36000195",75,45,30
"Tyldesley","E36000196",40,25,15
"Victoria","E36000197",45,20,20
"Warbreck","E36000198",35,20,15
"Waterloo","E36000199",55,30,25
"Alderley Edge","E36001193",5,0,0
"Alsager","E36001194",25,15,10
"Audlem","E36001195",5,0,5
"Bollington","E36001196",5,5,5
"Brereton Rural","E36001197",10,5,5
"Broken Cross and Upton","E36001198",20,10,5
"Bunbury","E36001199",5,5,0
"Chelford","E36001200",5,5,0
"Congleton East","E36001201",30,20,10
"Congleton West","E36001202",20,15,5
"Crewe Central","E36001203",65,30,35
"Crewe East","E36001204",65,35,30
"Crewe North","E36001205",10,5,5
"Crewe South","E36001206",50,30,25
"Crewe St Barnabas","E36001207",35,20,15
"Crewe West","E36001208",45,30,20
"Dane Valley","E36001209",5,5,5
"Disley","E36001210",5,5,0
"Gawsworth","E36001211",5,0,0
"Handforth","E36001212",25,15,10
"Haslington","E36001213",5,0,0
"High Legh","E36001214",0,0,0
"Knutsford","E36001215",15,10,5
"Leighton","E36001216",5,5,0
